,Bank_name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,JPMorgan Chase,432.9,346.32,389.61,35497.8
1,Bank of America,231.5,185.2,208.35,18983.0
2,Industrial and Commercial Bank of China,194.5,155.6,175.05,15949.0
3,Agricultural Bank of China,160.6,128.48,144.54,13169.2
4,HDFC Bank,157.9,126.32,142.11,12947.8
5,Wells Fargo,155.8,124.64,140.22,12775.6
6,HSBC Holdings PLC,148.9,119.12,134.01,12209.8
7,Morgan Stanley,140.8,112.64,126.72,11545.6
8,China Construction Bank,139.8,111.84,125.82,11463.6
9,Bank of China,136.8,109.44,123.12,11217.6
